target,source,value,source (FR),target (FR),color
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,16256.554525350595,Conversion du bioéthanol en carburant aviation,BIO_JETFUEL,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,28513.99663746494,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
BIO_JETFUEL,CROPS_TO_JETFUELS,1895.3999414005273,Conversion des cultures en carburant aviation,BIO_JETFUEL,#000000
HEAT_LOW_T,HP,56470.45349999999,Thermopompe,Chaleur (basse température),#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,28527.52952485544,Importations de bio-éthanol,Bioéthanol,#000000
DIESEL,IMP_DIESEL,13050.340056815927,Importations de diesel,Diesel,#D3D3D3
GASOLINE,IMP_GASOLINE,113.33793189546459,Importations d'essence,Essence,#808080
METHANOL,IMP_METHANOL,7799.326253218773,Importations de méthanol,Méthanol,#A5DA00
PROPANE,IMP_PROPANE,315.871538221999,Importations de propane,Propane,#000000
HEAT_HIGH_T,BOILER,2676.065574391546,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,64670.60131671461,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,82131.73110889383,Électricité directe,Chaleur (haute température),#B51F1F
NEW_HYDRO_DAM,RES_HYDRO,38018.55780544313,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
NEW_WIND_ONSHORE,RES_WIND_ONSHORE,170413.02884207258,Potentiel éolien terrestre,Nouvelles éoliennes terrestres,#FFA500
BOILER,WASTE,3233.999999999999,Déchets organiques et papier,Chaudière,#FA8072
CROPS_TO_JETFUELS,WET_BIOMASS,6468.999999999999,Déchets de biomasse humide,Conversion des cultures en carburant aviation,#b37b44
BOILER,WOOD,74118.0,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,71112.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,5191.4594634233,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,24868.0812006876,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,149478.398,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,9700.8145,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,46769.638999999996,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Secteur résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,1782.516,Demande en froid (climatisation),Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_LIGHTING,53.846000000000004,Demande en électricité pour l'éclairage,Secteur agricole,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Secteur résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,11698.34,Demande en électricité pour l'éclairage,Secteur industriel,#00BFFF
SERVICES,EUD_LIGHTING,7221.762,Demande en électricité pour l'éclairage,Secteur tertiaire,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,148838.84,Demande en chaleur haute température,Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,639.558,Demande en chaleur haute température,Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,79.12450000000001,Demande en chaleur basse température (eau chaude),Secteur agricole,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,6657.96,Demande en chaleur basse température (eau chaude),Secteur résidentiel,#B51F1F
