target,source,value,source (FR),target (FR),color
HEAT_LOW_T,AFC,0.11811056367000451,Pile à combustible alcaline,Chaleur (basse température),#B51F1F
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,20233.211569083433,Conversion du bioéthanol en carburant aviation,BIO_JETFUEL,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,35489.05309217234,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
BIO_JETFUEL,CROPS_TO_JETFUELS,1895.399941400528,Conversion des cultures en carburant aviation,BIO_JETFUEL,#000000
HEAT_LOW_T,DIRECT_ELEC,0.085184081299276,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,117908.37602075672,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DEC_SOLAR,0.32782274961426955,Solaire thermique décentralisé,Chaleur (basse température),#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,35770.988246141154,Importations de bio-éthanol,Bioéthanol,#000000
DIESEL,IMP_DIESEL,12679.06056806486,Importations de diesel,Diesel,#D3D3D3
GASOLINE,IMP_GASOLINE,18135.06128469376,Importations d'essence,Essence,#808080
METHANOL,IMP_METHANOL,8839.236420314777,Importations de méthanol,Méthanol,#A5DA00
HEAT_HIGH_T,BOILER,7488.64184712615,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,2676.065574391546,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,64670.601316725166,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,67840.70526175981,Électricité directe,Chaleur (haute température),#B51F1F
HEAT_LOW_T,PEM_ELECTROLYSIS,35.89986184867295,Électrolyse à membrane échangeuse de protons,Chaleur (basse température),#B51F1F
NEW_HYDRO_DAM,RES_HYDRO,20546.193906207893,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
DEC_SOLAR,RES_SOLAR,0.32782274961426955,Potentiel solaire photovoltaïque,Solaire thermique décentralisé,#000000
PV,RES_SOLAR,5934.8536934157855,Potentiel solaire photovoltaïque,Photovoltaïque,#FFD700
NEW_WIND_ONSHORE,RES_WIND_ONSHORE,185830.98601093533,Potentiel éolien terrestre,Nouvelles éoliennes terrestres,#FFA500
BOILER,WASTE,3233.999999999999,Déchets organiques et papier,Chaudière,#FA8072
CROPS_TO_JETFUELS,WET_BIOMASS,6469.000000000001,Déchets de biomasse humide,Conversion des cultures en carburant aviation,#b37b44
BOILER,WOOD,74118.0000000121,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,46222.8,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,6973.9754634233,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,31525.6362006876,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,142676.014,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
