target,source,value,source (FR),target (FR),color
HEAT_LOW_T,AFC,53.89992140759098,Pile à combustible alcaline,Chaleur (basse température),#B51F1F
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,22410.833130138486,Conversion du bioéthanol en carburant aviation,BIO_JETFUEL,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,39308.6013102629,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
DIESEL,CO2_TO_DIESEL,8498.95314811056,Conversion du CO2 en diesel,Diesel,#D3D3D3
GASOLINE,CO2_TO_DIESEL,3297.5938214668977,Conversion du CO2 en diesel,Essence,#808080
BIO_JETFUEL,CROPS_TO_JETFUELS,1895.399941400528,Conversion des cultures en carburant aviation,BIO_JETFUEL,#000000
HEAT_LOW_T,BOILER,113789.91809354638,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,14.091780210810859,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,COGEN,13.093116555430829,Cogénération,Chaleur (basse température),#B51F1F
HEAT_LOW_T,COGEN,7.424290629520721,Cogénération,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,14.091780210810859,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DEC_SOLAR,28.190871353085516,Solaire thermique décentralisé,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,25.55049822961388,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,2730.226463983969,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,COGEN,8127.072942387452,Cogénération,Chaleur (basse température),#B51F1F
SMR,HEAT_HIGH_T,11813.146413648929,Chaleur (haute température),Reformage vapeur du méthane,#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,3638.7927945509427,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
LT_DHN_WH,HEAT_LOW_T,2225.6568942047256,Chaleur (basse température),Chaleur perdue basse température du réseau de chaleur urbain,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,39308.60131026291,Importations de bio-éthanol,Bioéthanol,#000000
METHANOL,IMP_METHANOL,503.2246865499816,Importations de méthanol,Méthanol,#A5DA00
HEAT_HIGH_T,BOILER,64752.380658705915,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,2676.065574391546,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,40650.85750753806,Chaudière,Chaleur (haute température),#B51F1F
HEAT_WASTE,LT_DHN_WH,2225.6568942047256,Chaleur perdue basse température du réseau de chaleur urbain,Chaleur résiduelle,#B51F1F
METHANOL,METHANE_TO_METHANOL,5421.840171215931,Conversion du méthane en méthanol,Méthanol,#A5DA00
HEAT_LOW_T,PAFC,7.424290629520716,Pile à combustible à acide phosphorique,Chaleur (basse température),#B51F1F
HEAT_LOW_T,PEMFC,7.424290629520716,Pile à combustible à membrane échangeuse de protons,Chaleur (basse température),#B51F1F
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
NEW_HYDRO_DAM,RES_HYDRO,12418.98850846428,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
DEC_SOLAR,RES_SOLAR,28.190871353085516,Potentiel solaire photovoltaïque,Solaire thermique décentralisé,#000000
BOILER,WASTE,3233.9999999999986,Déchets organiques et papier,Chaudière,#FA8072
CROPS_TO_JETFUELS,WET_BIOMASS,6469.000000000002,Déchets de biomasse humide,Conversion des cultures en carburant aviation,#b37b44
COGEN,WOOD,14.0096364179056,Bois résiduel,Cogénération,#CD853F
BOILER,WOOD,16.471429886598692,Bois résiduel,Chaudière,#CD853F
BOILER,WOOD,3137.184747854417,Bois résiduel,Chaudière,#CD853F
BOILER,WOOD,46589.334185841006,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,35556.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,7808.7815500899405,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,30977.366826947353,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,92627.36453243565,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,21046.314670256033,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,100748.96228963003,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Secteur résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,4399.83808666664,Demande en froid (climatisation),Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_LIGHTING,101.35091502867999,Demande en électricité pour l'éclairage,Secteur agricole,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Secteur résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,7156.18942127359,Demande en électricité pour l'éclairage,Secteur industriel,#00BFFF
SERVICES,EUD_LIGHTING,17825.693289957482,Demande en électricité pour l'éclairage,Secteur tertiaire,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,91048.72420212033,Demande en chaleur haute température,Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1578.6403303153202,Demande en chaleur haute température,Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,148.93103436071,Demande en chaleur basse température (eau chaude),Secteur agricole,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,15882.028040329442,Demande en chaleur basse température (eau chaude),Secteur résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,757.8562385968801,Demande en chaleur basse température (eau chaude),Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,4257.4993569690005,Demande en chaleur basse température (eau chaude),Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,1340.39154378466,Demande en chaleur basse température (chauffage),Secteur agricole,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,64707.51130215064,Demande en chaleur basse température (chauffage),Secteur résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,3962.9137601122397,Demande en chaleur basse température (chauffage),Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,30738.145683582483,Demande en chaleur basse température (chauffage),Secteur tertiaire,#B51F1F
MOBILITY_PASSENGER,BUS,738.620583208142,Autobus,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,19587.36133429579,Voiture,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,78.83586370867155,Autocar,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,COMMUTER,228.83033920099476,Train de banlieue,Secteur de la mobilité des personnes,#000000
MOBILITY_FREIGHT,LCV,6333.014862399193,Véhicule utilitaire léger,Secteur de la mobilité des marchandises,#000000
MOBILITY_FREIGHT,PLANE,488.09615274353723,Avion,Secteur de la mobilité des marchandises,#000000
MOBILITY_PASSENGER,PLANE,23818.136918795477,Avion,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,SCHOOLBUS,296.66933292113725,Autobus scolaire,Secteur de la mobilité des personnes,#000000
MOBILITY_FREIGHT,SEMI,21717.93183802124,Semi-remorque,Secteur de la mobilité des marchandises,#000000
MOBILITY_FREIGHT,SHIP,5925.064857765912,Navire,Secteur de la mobilité des marchandises,#000000
MOBILITY_FREIGHT,TRAIN,2008.4298388205675,Train,Secteur de la mobilité des marchandises,#000000
MOBILITY_PASSENGER,TRAIN,5.00328374396847,Train,Secteur de la mobilité des personnes,#000000
BUS,GASOLINE,738.620583208142,Essence,Autobus,#808080
CAR,GASOLINE,2183.4680416289266,Essence,Voiture,#808080
COACH,GASOLINE,78.83586370867155,Essence,Autocar,#808080
PLANE,BIO_JETFUEL,24306.233071539013,BIO_JETFUEL,Avion,#000000
SCHOOLBUS,GASOLINE,296.66933292113725,Essence,Autobus scolaire,#808080
SEMI,DIESEL,8498.953148110559,Diesel,Semi-remorque,#D3D3D3
SHIP,METHANOL,5925.064857765912,Méthanol,Navire,#A5DA00
ELECTRICITY,AFC,157.1182709031277,Pile à combustible alcaline,Électricité,#00BFFF
ELECTRICITY,COGEN,12.569391893213595,Cogénération,Électricité,#00BFFF
ELECTRICITY,COGEN,2.5242588140370454,Cogénération,Électricité,#00BFFF
ELECTRICITY,COGEN,10158.841177984315,Cogénération,Électricité,#00BFFF
CARBON_CAPTURE,ELECTRICITY,493.96765592133374,Électricité,Captage de CO2 en postcombustion,#00BFFF
