target,source,value,source (FR),target (FR),color
HEAT_LOW_T,ALKALINE_ELECTROLYSIS,34.294534054505995,Électrolyse alcaline,Chaleur (basse température),#B51F1F
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,3235.142667703101,Conversion du bioéthanol en carburant aviation,Biocarburant d'aviation,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,5674.440239151239,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
GASOLINE,CO2_TO_DIESEL,343.86046778488713,Conversion du CO2 en diesel,Essence,#808080
DIESEL,CO2_TO_DIESEL,886.2383190332142,Conversion du CO2 en diesel,Diesel,#D3D3D3
BIO_JETFUEL,CO2_TO_JETFUELS,1895.399941400528,Conversion du CO2 en carburant aviation,Biocarburant d'aviation,#545454
HEAT_LOW_T,BOILER,0.0019368772239438945,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,60904.74320300955,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,1113.5406807912043,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,0.00048135733375504494,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,1608.5656975384336,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,55832.70295502035,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,FT,3275.1644785352164,Production de biodiesel par synthèse Fischer-Tropsch,Chaleur (basse température),#B51F1F
BIO_DIESEL,FT,8291.555641861307,Production de biodiesel par synthèse Fischer-Tropsch,Biodiesel,#6B8E23
HEAT_HIGH_T,GASIFICATION_H2,145.4131175785724,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,25111.011706664525,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,5706.084967996159,Importations de bio-éthanol,Bioéthanol,#000000
JETFUEL,IMP_JETFUEL,19175.69046243538,Importations de carburant aviation,Carburant aviation,#000000
LFO,IMP_LFO,0.002812292321538787,Importations de fioul léger,Fioul léger,#8B008B
HEAT_HIGH_T,BOILER,1929.6799379966258,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,48745.80913661883,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,70233.53096185475,Électricité directe,Chaleur (haute température),#B51F1F
BOILER,LFO,0.0005483386609028873,Fioul léger,Chaudière,#8B008B
BOILER,LFO,0.0022639536606358997,Fioul léger,Chaudière,#8B008B
METHANOL,METHANE_TO_METHANOL,5925.064857765923,Conversion du méthane en méthanol,Méthanol,#A5DA00
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
NEW_HYDRO_DAM,RES_HYDRO,11845.394908715882,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
NEW_WIND_ONSHORE,RES_WIND_ONSHORE,130853.78389637051,Potentiel éolien terrestre,Nouvelles éoliennes terrestres,#FFA500
BOILER,WASTE,2332.0000000000005,Déchets organiques et papier,Chaudière,#FA8072
CO2_TO_JETFUELS,WET_BIOMASS,6469.000000000001,Déchets de biomasse humide,Conversion du CO2 en carburant aviation,#545454
BOILER,WOOD,1848.3330371340967,Bois résiduel,Chaudière,#CD853F
FT,WOOD,15579.833051057396,Bois résiduel,Production de biodiesel par synthèse Fischer-Tropsch,#CD853F
BOILER,WOOD,55866.836058846464,Bois résiduel,Chaudière,#CD853F
GASIFICATION_H2,WOOD,822.997852962059,Bois résiduel,Production d'hydrogène par gazéification du bois,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,35556.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,7808.7815500899405,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,30977.366826947353,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,92627.36453243565,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,21046.314670256033,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,100748.96228963003,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,4399.83808666664,Demande en froid (climatisation),Services,#B51F1F
AGRICULTURE,EUD_LIGHTING,101.35091502867999,Demande en électricité pour l'éclairage,Agriculture,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,7156.18942127359,Demande en électricité pour l'éclairage,Industrie,#00BFFF
SERVICES,EUD_LIGHTING,17825.693289957482,Demande en électricité pour l'éclairage,Services,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,91048.72420212033,Demande en chaleur haute température,Industrie,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1578.6403303153202,Demande en chaleur haute température,Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,148.93103436071,Demande en chaleur basse température (eau chaude),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,15882.028040329442,Demande en chaleur basse température (eau chaude),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,757.8562385968801,Demande en chaleur basse température (eau chaude),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,4257.4993569690005,Demande en chaleur basse température (eau chaude),Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,1340.39154378466,Demande en chaleur basse température (chauffage),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,64707.51130215064,Demande en chaleur basse température (chauffage),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,3962.9137601122397,Demande en chaleur basse température (chauffage),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,30738.145683582483,Demande en chaleur basse température (chauffage),Services,#B51F1F
MOBILITY_PASSENGER,BUS,691.0281167349676,Autobus,Mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,18336.134792931705,Voiture,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,78.83586370867161,Autocar,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COMMUTER,228.8303392009945,Train de banlieue,Mobilité des personnes,#000000
MOBILITY_FREIGHT,LCV,6333.014862399193,Véhicule utilitaire léger,Mobilité des marchandises,#000000
MOBILITY_FREIGHT,PLANE,488.0961527435371,Avion,Mobilité des marchandises,#000000
MOBILITY_PASSENGER,PLANE,23818.136918795477,Avion,Mobilité des personnes,#000000
MOBILITY_PASSENGER,SCHOOLBUS,296.6693329211373,Autobus scolaire,Mobilité des personnes,#000000
MOBILITY_FREIGHT,SEMI,22396.772650805167,Semi-remorque,Mobilité des marchandises,#000000
