target,source,value,source (FR),target (FR),color
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,5350.196551799473,Conversion du bioéthanol en carburant aviation,Biocarburant d'aviation,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,9384.244751856277,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
DIESEL,CO2_TO_DIESEL,439.4640283454197,Conversion du CO2 en diesel,Diesel,#D3D3D3
GASOLINE,CO2_TO_DIESEL,170.51204299802288,Conversion du CO2 en diesel,Essence,#808080
BIO_JETFUEL,CROPS_TO_JETFUELS,1895.3999414005275,Conversion des cultures en carburant aviation,Biocarburant d'aviation,#000000
HEAT_LOW_T,DIRECT_ELEC,0.00011237988417178708,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,73101.1628830088,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,0.00011104932719082844,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,459.46063585924884,Chaudière,Chaleur (basse température),#B51F1F
ETHANOL_TO_JETFUELS,ETHANOL,479.7659791360018,Éthanol,Conversion de l'éthanol en carburant aviation,#E1DA00
JETFUEL,ETHANOL_TO_JETFUELS,273.52678400000104,Conversion de l'éthanol en carburant aviation,Carburant aviation,#E1DA00
HEAT_LOW_T,FT,1351.1001474884129,Production de biodiesel par synthèse Fischer-Tropsch,Chaleur (basse température),#B51F1F
BIO_DIESEL,FT,3420.5067025023104,Production de biodiesel par synthèse Fischer-Tropsch,Biodiesel,#6B8E23
HEAT_HIGH_T,GASIFICATION_H2,1925.9622310192844,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
COGEN,HEAT_HIGH_T,5.516210017254779e-05,Chaleur (haute température),Cogénération,#B51F1F
DAC_HT,HEAT_HIGH_T,233.5276689505293,Chaleur (haute température),Captage direct à haute température,#B51F1F
COGEN,HEAT_LOW_T,0.00011237487372826067,Chaleur (basse température),Cogénération,#B51F1F
LT_DHN_WH,HEAT_LOW_T,495.19573268594036,Chaleur (basse température),Chaleur perdue basse température du réseau de chaleur urbain,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,9404.219656714384,Importations de bio-éthanol,Bioéthanol,#000000
ETHANOL,IMP_ETHANOL,479.7659791360018,IMP_ETHANOL,Éthanol,#E1DA00
JETFUEL,IMP_JETFUEL,1988.0,Importations de carburant aviation,Carburant aviation,#000000
METHANOL,IMP_METHANOL,2122.6088520000003,Importations de méthanol,Méthanol,#A5DA00
PROPANE,IMP_PROPANE,380.2807912358367,Importations de propane,Propane,#000000
HEAT_HIGH_T,BOILER,0.00023908267438207386,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,2676.065574391546,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,10000.000000000002,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,COGEN,13416.068931423142,Cogénération,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,36006.43074820098,Électricité directe,Chaleur (haute température),#B51F1F
HEAT_WASTE,LT_DHN_WH,495.19573268594036,Chaleur perdue basse température du réseau de chaleur urbain,Chaleur résiduelle,#B51F1F
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
NEW_HYDRO_DAM,RES_HYDRO,3458.3526124646605,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
BOILER,WASTE,3233.999999999999,Déchets organiques et papier,Chaudière,#FA8072
CROPS_TO_JETFUELS,WET_BIOMASS,6469.0,Déchets de biomasse humide,Conversion des cultures en carburant aviation,#b37b44
COGEN,WOOD,25316.12207359547,Bois résiduel,Cogénération,#CD853F
FT,WOOD,6427.132094001841,Bois résiduel,Production de biodiesel par synthèse Fischer-Tropsch,#CD853F
GASIFICATION_H2,WOOD,10900.411238060533,Bois résiduel,Production d'hydrogène par gazéification du bois,#CD853F
BOILER,WOOD,527.9462777434975,Bois résiduel,Chaudière,#CD853F
BOILER,WOOD,11460.84905520179,Bois résiduel,Chaudière,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,21333.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,6973.9434634233,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,25399.1332006876,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,63791.0,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,12177.0,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,62149.0,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,3565.0,Demande en froid (climatisation),Services,#B51F1F
AGRICULTURE,EUD_LIGHTING,149.0,Demande en électricité pour l'éclairage,Agriculture,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,4913.0,Demande en électricité pour l'éclairage,Industrie,#00BFFF
SERVICES,EUD_LIGHTING,14443.0,Demande en électricité pour l'éclairage,Services,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,62512.0,Demande en chaleur haute température,Industrie,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1279.0,Demande en chaleur haute température,Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,219.0,Demande en chaleur basse température (eau chaude),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,7989.0,Demande en chaleur basse température (eau chaude),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,520.0,Demande en chaleur basse température (eau chaude),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,3449.0,Demande en chaleur basse température (eau chaude),Services,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,1972.0,Demande en chaleur basse température (chauffage),Agriculture,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,32551.0,Demande en chaleur basse température (chauffage),Résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,2720.0,Demande en chaleur basse température (chauffage),Industrie,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,24906.0,Demande en chaleur basse température (chauffage),Services,#B51F1F
MOBILITY_PASSENGER,BUS,380.2807912358368,Autobus,Mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,6331.358954660968,Voiture,Mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,37.74594493329912,Autocar,Mobilité des personnes,#000000
