target,source,value,source (FR),target (FR),color
BIO_JETFUEL,CO2_TO_JETFUELS,1895.3999414005395,Conversion du CO2 en carburant aviation,BIO_JETFUEL,#545454
HEAT_LOW_T,DIRECT_ELEC,53196.24977656412,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,0.0003536262714471244,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,148.9451556002255,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,5254.0410307843085,Thermopompe,Chaleur (basse température),#B51F1F
ETHANOL_TO_JETFUELS,ETHANOL,15710.35130596972,Éthanol,Conversion de l'éthanol en carburant aviation,#E1DA00
JETFUEL,ETHANOL_TO_JETFUELS,8956.870755969054,Conversion de l'éthanol en carburant aviation,Carburant aviation,#E1DA00
HEAT_LOW_T,FT,1283.4876673959347,Production de biodiesel par synthèse Fischer-Tropsch,Chaleur (basse température),#B51F1F
BIO_DIESEL,FT,3249.3358668251512,Production de biodiesel par synthèse Fischer-Tropsch,Biodiesel,#6B8E23
HEAT_HIGH_T,GASIFICATION_H2,652.6222612884436,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,GASIFICATION_SNG,6826.336640344243,Production de gaz naturel synthétique par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,2371.9999999999995,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
LT_DHN_WH,HEAT_LOW_T,893.1472767997277,Chaleur (basse température),Chaleur perdue basse température du réseau de chaleur urbain,#B51F1F
ETHANOL,IMP_ETHANOL,15710.35130596972,IMP_ETHANOL,Éthanol,#E1DA00
JETFUEL,IMP_JETFUEL,1987.9999999999982,Importations de carburant aviation,Carburant aviation,#000000
PROPANE,IMP_PROPANE,42.29027309532157,Importations de propane,Propane,#000000
HEAT_HIGH_T,BOILER,1929.6799379966249,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,BOILER,16167.626621546991,Chaudière,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,DIRECT_ELEC,33947.366255778616,Électricité directe,Chaleur (haute température),#B51F1F
HEAT_WASTE,LT_DHN_WH,893.1472767997277,Chaleur perdue basse température du réseau de chaleur urbain,Chaleur résiduelle,#B51F1F
NEW_HYDRO_DAM,RES_HYDRO,1632.3484488874726,Potentiel hydraulique,Nouveaux barrages hydroélectriques,#000000
HYDRO_DAM,RES_HYDRO,127918.533528,Potentiel hydraulique,Barrages hydroélectriques existants,#00CED1
HYDRO_RIVER,RES_HYDRO,73573.19568,Potentiel hydraulique,Hydroélectricité au fil de l'eau existante,#00CED1
BOILER,WASTE,2331.999999999999,Déchets organiques et papier,Chaudière,#FA8072
CO2_TO_JETFUELS,WET_BIOMASS,6469.000000000041,Déchets de biomasse humide,Conversion du CO2 en carburant aviation,#545454
GASIFICATION_H2,WOOD,3693.660714931122,Bois résiduel,Production d'hydrogène par gazéification du bois,#CD853F
FT,WOOD,6105.5020937644595,Bois résiduel,Production de biodiesel par synthèse Fischer-Tropsch,#CD853F
GASIFICATION_SNG,WOOD,28464.138275015655,Bois résiduel,Production de gaz naturel synthétique par gazéification du bois,#CD853F
BOILER,WOOD,18529.47282904121,Bois résiduel,Chaudière,#CD853F
BOILER,WOOD,171.1464146215872,Bois résiduel,Chaudière,#CD853F
WOOD_METHANOL,WOOD,3211.27860922979,Bois résiduel,Conversion du bois en méthanol,#CD853F
HEAT_LOW_T,WOOD_METHANOL,1594.9435917011049,Conversion du bois en méthanol,Chaleur (basse température),#B51F1F
BIO_METHANOL,WOOD_METHANOL,1594.9435917011049,Conversion du bois en méthanol,BIO_METHANOL,#CD853F
EUD_ELECTRICITY_EHV_EXPORT,ELECTRICITY,17778.0,Électricité,Exportation d'électricité très haute tension,#00BFFF
EUD_HEAT_LOW_T_SC,ELECTRICITY,6379.803463423301,Électricité,Demande en froid (climatisation),#B51F1F
EUD_LIGHTING,ELECTRICITY,22149.0822006876,Électricité,Demande en électricité pour l'éclairage,#00BFFF
EUD_HEAT_HIGH_T,HEAT_HIGH_T,53159.524,Chaleur (haute température),Demande en chaleur haute température,#B51F1F
EUD_HEAT_LOW_T_HW,HEAT_LOW_T,10148.913,Chaleur (basse température),Demande en chaleur basse température (eau chaude),#B51F1F
EUD_HEAT_LOW_T_SH,HEAT_LOW_T,51792.034,Chaleur (basse température),Demande en chaleur basse température (chauffage),#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SC,3408.9434634233003,Demande en froid (climatisation),Secteur résidentiel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SC,2970.86,Demande en froid (climatisation),Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_LIGHTING,124.26,Demande en électricité pour l'éclairage,Secteur agricole,#00BFFF
HOUSEHOLDS,EUD_LIGHTING,5894.133200687601,Demande en électricité pour l'éclairage,Secteur résidentiel,#00BFFF
INDUSTRY,EUD_LIGHTING,4094.419,Demande en électricité pour l'éclairage,Secteur industriel,#00BFFF
SERVICES,EUD_LIGHTING,12036.27,Demande en électricité pour l'éclairage,Secteur tertiaire,#00BFFF
INDUSTRY,EUD_HEAT_HIGH_T,52093.594,Demande en chaleur haute température,Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_HIGH_T,1065.93,Demande en chaleur haute température,Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_HW,182.595,Demande en chaleur basse température (eau chaude),Secteur agricole,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_HW,6657.96,Demande en chaleur basse température (eau chaude),Secteur résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_HW,433.608,Demande en chaleur basse température (eau chaude),Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_HW,2874.75,Demande en chaleur basse température (eau chaude),Secteur tertiaire,#B51F1F
AGRICULTURE,EUD_HEAT_LOW_T_SH,1643.37,Demande en chaleur basse température (chauffage),Secteur agricole,#B51F1F
HOUSEHOLDS,EUD_HEAT_LOW_T_SH,27126.26,Demande en chaleur basse température (chauffage),Secteur résidentiel,#B51F1F
INDUSTRY,EUD_HEAT_LOW_T_SH,2267.3839999999996,Demande en chaleur basse température (chauffage),Secteur industriel,#B51F1F
SERVICES,EUD_HEAT_LOW_T_SH,20755.02,Demande en chaleur basse température (chauffage),Secteur tertiaire,#B51F1F
MOBILITY_PASSENGER,BUS,98.50619706970511,Autobus,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,CAR,5540.553206108535,Voiture,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,COACH,27.318056324132797,Autocar,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,COMMUTER,34.966181479371386,Train de banlieue,Secteur de la mobilité des personnes,#000000
MOBILITY_FREIGHT,LCV,3845.1536457540205,Véhicule utilitaire léger,Secteur de la mobilité des marchandises,#000000
MOBILITY_PASSENGER,PLANE,12840.270697369595,Avion,Secteur de la mobilité des personnes,#000000
MOBILITY_PASSENGER,SCHOOLBUS,42.29027309532156,Autobus scolaire,Secteur de la mobilité des personnes,#000000
MOBILITY_FREIGHT,SEMI,3377.877963077417,Semi-remorque,Secteur de la mobilité des marchandises,#000000
MOBILITY_FREIGHT,SHIP,1594.9435917011044,Navire,Secteur de la mobilité des marchandises,#000000
MOBILITY_PASSENGER,SUV,475.38189515130887,VUS,Secteur de la mobilité des personnes,#000000
MOBILITY_FREIGHT,TRAIN,1762.5010522464354,Train,Secteur de la mobilité des marchandises,#000000
MOBILITY_PASSENGER,TRAIN,6.977673699037947,Train,Secteur de la mobilité des personnes,#000000
