target,source,value,source (FR),target (FR),color
HEAT_LOW_T,AFC,3.6863634816277013,Pile à combustible alcaline,Chaleur (basse température),#B51F1F
HEAT_LOW_T,ALKALINE_ELECTROLYSIS,2005.1172546073217,Électrolyse alcaline,Chaleur (basse température),#B51F1F
BIO_JETFUEL,BIOETHANOL_TO_BIOJETFUELS,8956.870755969065,Conversion du bioéthanol en carburant aviation,Biocarburant d'aviation,#000000
BIOETHANOL_TO_BIOJETFUELS,BIO_ETHANOL,15710.35130596974,Bioéthanol,Conversion du bioéthanol en carburant aviation,#000000
DIESEL,CO2_TO_DIESEL,1674.577391349314,Conversion du CO2 en diesel,Diesel,#D3D3D3
GASOLINE,CO2_TO_DIESEL,649.7360278435339,Conversion du CO2 en diesel,Essence,#808080
BIO_JETFUEL,CO2_TO_JETFUELS,1895.399941400528,Conversion du CO2 en carburant aviation,Biocarburant d'aviation,#545454
HEAT_LOW_T,BOILER,198.56613412215543,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DIRECT_ELEC,56334.55668608172,Électricité directe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,4478.1219797097765,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,DEC_SOLAR,79.71318175913554,Solaire thermique décentralisé,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,4.6777219384809984e-05,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,BOILER,50.69942009910114,Chaudière,Chaleur (basse température),#B51F1F
HEAT_LOW_T,HP,0.9445467260318319,Thermopompe,Chaleur (basse température),#B51F1F
HEAT_LOW_T,FT,563.0460756845373,Production de biodiesel par synthèse Fischer-Tropsch,Chaleur (basse température),#B51F1F
BIO_DIESEL,FT,1425.4331029988286,Production de biodiesel par synthèse Fischer-Tropsch,Biodiesel,#6B8E23
HEAT_HIGH_T,GASIFICATION_H2,319.22430796370963,Production d'hydrogène par gazéification du bois,Chaleur (haute température),#B51F1F
HEAT_HIGH_T,GASIFICATION_SNG,1.6213866805813947e-05,Production de gaz naturel synthétique par gazéification du bois,Chaleur (haute température),#B51F1F
CARBON_CAPTURE,HEAT_HIGH_T,15613.545027925853,Chaleur (haute température),Captage de CO2 en postcombustion,#B51F1F
LT_DHN_WH,HEAT_LOW_T,241.69463208764455,Chaleur (basse température),Chaleur perdue basse température du réseau de chaleur urbain,#B51F1F
BIO_ETHANOL,IMP_BIO_ETHANOL,15710.351305969736,Importations de bio-éthanol,Bioéthanol,#000000
JETFUEL,IMP_JETFUEL,1988.0000000000005,Importations de carburant aviation,Carburant aviation,#000000
